frame,houdini_frame,x,y,z,theta,phi,purity,estado
1,1,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
2,2,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
3,3,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
4,4,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
5,5,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
6,6,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
7,7,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
8,8,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
9,9,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
10,10,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
11,11,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
12,12,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
13,13,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
14,14,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
15,15,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
16,16,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
17,17,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
18,18,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
19,19,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
20,20,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
21,21,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
22,22,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
23,23,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
24,24,0.227228,0.000000,0.734565,0.300000,0.000000,0.768908,0
25,25,0.127893,0.000000,0.413444,0.300000,0.000000,0.432773,0
26,26,0.028559,0.000000,0.092322,0.300000,0.000000,0.096639,0
27,27,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0
28,28,0.022350,0.000000,0.072252,0.300000,0.000000,0.075630,0
29,29,0.121685,0.000000,0.393374,0.300000,0.000000,0.411765,0
30,30,0.221019,0.000000,0.714495,0.300000,0.000000,0.747899,0
31,31,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
32,32,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
33,33,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
34,34,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
35,35,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
36,36,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
37,37,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
38,38,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
39,39,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
40,40,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
41,41,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
42,42,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
43,43,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
44,44,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
45,45,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
46,46,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
47,47,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
48,48,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
49,49,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
50,50,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
51,51,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
52,52,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
53,53,-0.295520,0.000000,-0.955336,2.841593,3.141593,1.000000,1
54,54,-0.202394,0.000000,-0.654285,2.841593,3.141593,0.684874,1
55,55,-0.103060,0.000000,-0.333164,2.841593,3.141593,0.348739,1
56,56,-0.003725,0.000000,-0.012042,2.841593,3.141593,0.012605,1
57,57,-0.000000,0.000000,-0.000000,2.841593,3.141593,0.000000,1
58,58,-0.047184,0.000000,-0.152533,2.841593,3.141593,0.159664,1
59,59,-0.146518,0.000000,-0.473654,2.841593,3.141593,0.495798,1
60,60,-0.245853,0.000000,-0.794776,2.841593,3.141593,0.831933,1
61,61,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
62,62,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
63,63,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
64,64,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
65,65,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
66,66,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
67,67,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
68,68,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
69,69,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
70,70,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
71,71,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
72,72,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
73,73,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
74,74,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
75,75,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
76,76,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
77,77,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
78,78,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
79,79,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
80,80,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
81,81,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
82,82,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,2
83,83,0.000000,0.936975,0.000000,1.570796,1.570796,0.936975,2
84,84,0.000000,0.600840,0.000000,1.570796,1.570796,0.600840,2
85,85,0.000000,0.264706,0.000000,1.570796,1.570796,0.264706,2
86,86,0.000000,0.000000,0.000000,1.570796,1.570796,0.000000,2
87,87,0.000000,0.000000,0.000000,1.570796,1.570796,0.000000,2
88,88,0.000000,0.243697,0.000000,1.570796,1.570796,0.243697,2
89,89,0.000000,0.579832,0.000000,1.570796,1.570796,0.579832,2
90,90,0.000000,0.915966,0.000000,1.570796,1.570796,0.915966,2
91,91,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
92,92,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
93,93,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
94,94,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
95,95,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
96,96,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
97,97,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
98,98,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
99,99,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
100,100,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
101,101,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
102,102,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
103,103,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
104,104,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
105,105,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
106,106,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
107,107,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
108,108,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
109,109,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
110,110,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
111,111,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
112,112,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,3
113,113,-0.000000,-0.852941,0.000000,1.570796,4.712389,0.852941,3
114,114,-0.000000,-0.516807,0.000000,1.570796,4.712389,0.516807,3
115,115,-0.000000,-0.180672,0.000000,1.570796,4.712389,0.180672,3
116,116,-0.000000,-0.000000,0.000000,1.570796,4.712389,0.000000,3
117,117,-0.000000,-0.000000,0.000000,1.570796,4.712389,0.000000,3
118,118,-0.000000,-0.327731,0.000000,1.570796,4.712389,0.327731,3
119,119,-0.000000,-0.663866,0.000000,1.570796,4.712389,0.663866,3
120,120,0.295520,0.000000,0.955336,0.300000,0.000000,1.000000,0
